name,price,link
100% ORGANIC MATCHA / JAPAN PREMIUM 7sticks,705.96,https://www.the-matcha.tokyo/collections/all/products/100-organic-matcha-japan-premium-7sticks
100% ORGANIC MATCHA / JAPAN PREMIUM,"1,157.00",https://www.the-matcha.tokyo/collections/all/products/100-organic-matcha-japan-premium
100% ORGANIC MATCHA / JAPAN PREMIUM DAILY SET ×2,"2,157.11",https://www.the-matcha.tokyo/collections/all/products/100-organic-matcha-japan-premium-daily-set-2
100% ORGANIC MATCHA / JAPAN PREMIUM DAILY SET ×3,"3,137.62",https://www.the-matcha.tokyo/collections/all/products/100-organic-matcha-japan-premium-daily-set-3
100% ORGANIC MATCHA / TOKYO RICH,705.96,https://www.the-matcha.tokyo/collections/all/products/100-organic-matcha-tokyorich
100% ORGANIC TEA / SENCHA,392.20,https://www.the-matcha.tokyo/collections/all/products/100-organic-tea-sencha
100% ORGANIC TEA / MATCHA GENMAI,392.20,https://www.the-matcha.tokyo/collections/all/products/matcha-genmai
100% ORGANIC TEA / HOJICHA,392.20,https://www.the-matcha.tokyo/collections/all/products/roasted-tea
100% ORGANIC TEA / SENCHA ~TENRYU~,549.08,https://www.the-matcha.tokyo/collections/all/products/100-organic-tea-sencha_tenryu
MATCHA LATTE 5 sticks,588.30,https://www.the-matcha.tokyo/collections/all/products/matcha-latte-5sticks
MATCHA MILK JAM ／ 抹茶ミルクジャム,470.64,https://www.the-matcha.tokyo/collections/all/products/matchamilkjam
MATCHA PROTEIN & SOY COOKIE ／ 抹茶プロテイン&ソイクッキー,254.93,https://www.the-matcha.tokyo/collections/all/products/matcha-protein-soy-cookie
MATCHA CASTELLA ／ 抹茶カステラ　箱入り,902.07,https://www.the-matcha.tokyo/collections/all/products/matcha-castella6
CHASEN,"1,941.40",https://www.the-matcha.tokyo/collections/all/products/chasen
TEA BOWL 008 BLACK,"3,882.80",https://www.the-matcha.tokyo/collections/all/products/tea-bowl-008-black
TEA BOWL 009 WHITE,"3,882.80",https://www.the-matcha.tokyo/collections/all/products/tea-bowl-009-white
TEA BOWL 010 BROWN,"3,882.80",https://www.the-matcha.tokyo/collections/all/products/tea-bowl-010-brown
CHASEN STAND,"1,058.95",https://www.the-matcha.tokyo/collections/all/products/chasen-stand
WATER BOTTLE by KINTO,647.13,https://www.the-matcha.tokyo/collections/all/products/water-bottle-by-kinto-1
TEA BOWL 003,"3,019.96",https://www.the-matcha.tokyo/collections/all/products/tea-bowl-003
TEA BOWL 005,"3,019.96",https://www.the-matcha.tokyo/collections/all/products/tea-bowl-005
